module,revisions,code,cc
updateBuildDescription,20,45,14
ensureBranch,19,13,4
validateConfiguration,18,18,7
deleteIntegratedBranch,18,12,4
findScm,18,12,7
isApplicable,17,3,2
handlePostBuild,16,11,4
update,15,20,6
GitBridge,11,5,1
resolveWorkspace,8,12,4
GitBridge.DescriptorImpl.getIntegrationStrategies,3,9,6
setWorkingDirectory,3,3,1
getWorkingDirectory,3,3,1
pushToIntegrationBranchGit,2,9,4
getExpandedRepository,1,3,1
handleIntegrationExceptionsGit,0,39,9
pushToIntegrationBranch,0,15,4
deleteBranch,0,14,4
pushToBranch,0,13,2
evalBranchConfigurations,0,13,3
getExpandedIntegrationBranch,0,4,2
GitBridge.DescriptorImpl.getDisplayName,0,3,1
getIntegrationBranch,0,3,2
GitBridge.DescriptorImpl.getDefaultStrategy,0,3,1
GitBridge.DescriptorImpl.DescriptorImpl,0,3,1
setRepoName,0,3,1
getRepoName,0,3,2
