date,ticket,added,deleted,net,files,authors,startdate,leadtime
2014-08-15,JENKINS-24284,15,13,2,1,1,2014-08-15,1
2014-08-15,JENKINS-24285,7,2,5,1,1,2014-08-15,1
2014-08-18,JENKINS-24286,15,1,14,2,1,2014-08-18,1
2014-09-24,JENKINS-24844,75,214,-139,6,1,2014-09-24,1
2014-09-29,JENKINS-24909,9,0,9,3,1,2014-09-29,1
2014-11-05,JENKINS-24754,546,104,442,14,1,2014-09-18,1156
2014-11-05,JENKINS-25445,18,4,14,4,1,2014-11-05,1
2014-11-10,JENKINS-25512,5,0,5,1,1,2014-11-10,1
2014-11-24,JENKINS-25545,45,2,43,3,1,2014-11-14,235
2014-12-02,JENKINS-25544,168,47,121,3,2,2014-11-24,198
2014-12-03,JENKINS-25546,550,322,228,12,1,2014-11-24,212
2014-12-03,JENKINS-25618,135,1,134,3,1,2014-11-14,456
2014-12-07,JENKINS-25886,934,322,612,24,2,2014-12-03,107
2014-12-09,JENKINS-25959,1,1,0,1,1,2014-12-09,1
2014-12-11,JENKINS-25960,684,26,658,7,1,2014-12-09,47
2015-03-06,JENKINS-26568,1637,147,1490,5,1,2015-03-06,11
2015-04-01,JENKINS-27662,928,69,859,9,1,2015-03-31,13
2015-04-01,JENKINS-27697,45,19,26,4,1,2015-04-01,1
2015-04-05,JENKINS-27690,85,29,56,3,1,2015-04-01,100
2015-04-16,JENKINS-27516,16,18,-2,1,2,2015-04-08,190
2015-05-27,JENKINS-29104,82,36,46,8,1,2015-05-27,1
2015-06-29,JENKINS-28590,522,87,435,9,1,2015-06-29,1
2015-06-29,JENKINS-28596,552,5,547,5,1,2015-06-29,1
2015-07-07,JENKINS-28640,554,145,409,11,1,2015-07-07,1
2015-07-12,JENKINS-29369,316,92,224,8,1,2015-07-12,1
2015-08-27,JENKINS-30192,100,0,100,2,1,2015-08-27,1
2015-09-23,JENKINS-30603,287,35,252,8,1,2015-09-23,1
2015-10-12,JENKINS-30191,6,2,4,1,1,2015-10-12,1
2015-10-12,JENKINS-30885,212,56,156,8,2,2015-09-11,746
2015-10-12,JENKINS-30891,231,36,195,8,1,2015-10-12,1
2015-10-22,JENKINS-30465,14,66,-52,5,1,2015-10-22,1
2015-10-23,JENKINS-31128,294,3,291,5,1,2015-10-23,1
2015-10-28,JENKINS-31139,9,0,9,1,1,2015-10-28,1
2015-11-02,JENKINS-31138,174,88,86,3,1,2015-11-02,1
2015-11-04,JENKINS-31388,1,1,0,1,1,2015-11-04,1
