date,total,n,mean,median,sd,max,comments,ratio,revision
2014-04-24,17.0,12,1.42,1.0,0.67,3,10,1.42,dcabe06
2014-05-02,15.0,10,1.5,1.0,0.71,3,10,1.5,b9ecf7e
2014-05-15,17.0,11,1.55,1.0,0.69,3,10,1.55,a8082eb
2014-11-04,34.0,16,2.13,2.0,1.2,5,10,2.13,0c71a13
2014-11-04,17.0,11,1.55,1.0,0.69,3,10,1.55,bdc8373
2015-10-15,17.0,11,1.55,1.0,0.69,3,0,1.55,0ce224f
2015-10-22,17.0,11,1.55,1.0,0.69,3,0,1.55,571778d
2015-10-27,17.0,11,1.55,1.0,0.69,3,11,1.55,b91ba9b
2017-10-02,20.0,13,1.54,1.0,0.66,3,11,1.54,fbab4f1
2017-10-03,27.0,14,1.93,2.0,1.0,4,12,1.93,fb603fd
2017-10-04,27.0,14,1.93,2.0,1.0,4,12,1.93,b5c3c69
