codesize,"8,717"
primarylanguage,Java
primarylanguagesize,"5,918"
numberofcontributions,465
authors,18
activeauthors,5
hotspot1,pretested-integration-plugin/src/main/java/org/jenkinsci/plugins/pretestedintegration/PretestedIntegrationPostCheckout.java
hotspot2,pretested-integration-plugin/src/main/java/org/jenkinsci/plugins/pretestedintegration/scm/git/GitBridge.java
hotspot3,pretested-integration-plugin/src/main/java/org/jenkinsci/plugins/pretestedintegration/AbstractSCMBridge.java
hotspot4,pretested-integration-plugin/src/main/java/org/jenkinsci/plugins/pretestedintegration/scm/git/SquashCommitStrategy.java
hotspot5,pretested-integration-plugin/src/main/java/org/jenkinsci/plugins/pretestedintegration/scm/git/AccumulatedCommitStrategy.java
coupledentities,14
coupledlower,30
coupledupper,77
archcoupledentities,2
archcoupledlower,77
archcoupledupper,77
teams,0
markeddevelopers,0
knowledgelossauthors,0
knowledgelosspercentage,0
fragmented1,pretested-integration-plugin/src/main/java/org/jenkinsci/plugins/pretestedintegration/PretestedIntegrationPostCheckout.java
fragmented1devs,11
fragmented2,pretested-integration-plugin/src/main/java/org/jenkinsci/plugins/pretestedintegration/scm/git/SquashCommitStrategy.java
fragmented2devs,8
fragmented3,pretested-integration-plugin/src/test/java/org/jenkinsci/plugins/pretestedintegration/integration/scm/git/ChangelessBranchFailsBuildIT.java
fragmented3devs,5
fragmented4,pretested-integration-plugin/src/main/java/org/jenkinsci/plugins/pretestedintegration/scm/git/AccumulatedCommitStrategy.java
fragmented4devs,8
fragmented5,pretested-integration-plugin/src/main/java/org/jenkinsci/plugins/pretestedintegration/scm/git/GitBridge.java
fragmented5devs,7
mediancontribtime,0.5
maxcontribtime,45
exdevelopersmedianexperience,NaN
architecturaldefs,0
compcoupledentities,0
compcoupledlower,
compcoupledupper,
compcommitcoupledentities,0
compcommitcoupledlower,
compcommitcoupledupper,
pmitems,0
pmtotalcosts,0
modusoperandimessagepattern,bug|fix|defect|[a-z]
nbranches,5
branchttl,2d 19h
branchmergelead,0
